English,Turkish,Sample Sentence
a,bir,"a car, a flower, a table"
about,"hakkında, ilgili, konusunda",Tell us about Tom.
above,yukarıda,Tom lives in the room above us.
account,"Hesap, açıklama, banka hesabı",Here’s my account number.
across,karşısında,It’s across the street.
action,"eylem, etki, hareket",His action frightened us.
address,adres,Give me Tom’s address.
administration,"yönetim, idare",They complained about the city administration.
adult,"yetişkin, erişkin","Two adult tickets, please."
affect,"etkilemek, etki etmek",The audience was deeply affected.
after,"sonra, ardından, daha sonra",Repeat after me.
against,"karşısında, karşı",It’s against the rules.
age,yaş,Tom is my age.
ago,"önce, evvel",Tom left an hour ago.
air,hava,We need fresh air.
along,"boyunca, yanı sıra",Come along with me.
already,zaten,It’s already 7:00.
also,"ayrıca, hem de",I also like candy.
although,"rağmen, karşın , gerçi","Although it rained, everyone had a good time."
animal,hayvan,I love animals.
anyone,"kimse, herhangi biri, hiç kimse",Anyone home?
appear,"görünmek, gözükmek",Tom sometimes appears on TV.
area,"alan, bölge",There is no beach in this area.
argue,tartışmak,I don’t have time to argue.
arrive,"varmak, ulaşmak",Tom arrives today.
art,sanat,Last week I visited a beautiful art store.
assume,"varsaymak, farzetmek",I assume you’re angry.
attention,dikkat,Pay attention.
audience,"seyirci, izleyici",The audience was deeply affected.
available,"müsait, mevcut, geçerli",Are seats available?
away,"uzak, uzakta",Take that away.
baby,bebek,The baby is crying.
back,geri,Turn back from here.
bad,kötü,The weather will be bad today.
bank,banka,Her bank account is zero.
bar,bar,He sat on the bar.
base,"üs, temel, baz",He is working in the navy base.
beat,"dövmek, yenmek",We beat them.
because,çünkü,I do it because I want to.
behavior,"davranış, tutum, hareket",I don’t speak with because of his behaviour.
behind,"arkasında, gerisinde",Stay behind the wall.
benefit,"yarar, fayda",I can benefit from your experience.
better,"daha iyi, daha güzel, daha iyi şekilde",He is better than me.
big,büyük,How big is it?
bill,Fatura,I have to pay the internet bill.
billion,milyar,One in a billion.
blood,kan,My blood type is Orh+.
blue,mavi,The sky is blue.
body,vücut,He has a strong body.
box,kutu,Your gift is in that red box.
break,kırılma,Who broke the glass?
bring,getirmek,Bring your bag with you.
brother,erkek kardeş,I have 2 brothers and one sister.
building,bina,The building is very high.
buy,satın almak,Can I buy this one?
call,aramak,Can you call her?
camera,kamera,Turn off the camera please.
campaign,kampanya,Did you take part in the campaign?
cancer,kanser,Cancer of the Stomach is a common disease.
card,Kart,A Christmas cardcome to life.
care,bakım,He will not care.
cell,hücre,The cell reproduced and the organism grew.
chance,Şans,You had your chance to solve it on your own.
charge,şarj etmek,I will be in charge of your initiation.
check,Kontrol,I’ll check that too.
church,kilise,Are you all going to church this morning?
citizen,vatandaş,You’re a private citizen in a few days.
city,şehir,You should have called the city cops.
civil,sivil,The last civil war set us back fifty years.
clear,açık,It was clear and frosty.
clearly,Açıkça,His expression was clearly displeased.
cold,soğuk,It was cold in the cave.
college,kolej,She’ll be going to college next month.
color,renk,The color is amazing.
come,gelmek,I can come back.
commercial,ticari,The capital was the center of the commercial activities.
company,Şirket,Go and keep her company for ten minutes.
compare,karşılaştırmak,I don’t compare you to Josh.
Congress,Kongre,The Berlin congress decided that it should remain with Servia.
consider,göz önüne almak,"It was too far to consider driving every day, even if she had a car."
consumer,tüketici,There was a rising worldwide consumption of consumergoods.
contain,içermek,Fred could hardly contain his excite­ment.
continue,devam et,He would continueuntil he was satisfied.
control,kontrol,I can’t control it yet.
country,Ülke,The country was wild and beautiful.
couple,çift,"I have a couple of polo shirts, but no light shirts."
create,yaratmak,Trading is able to create value for two reasons.
culture,kültür,If only she understood our culture better.
cup,fincan,He took the cupfrom her hand.
cut,Kesmek,I’ve cut enough here for supper.
data,veri,You have some access to data bases that could be helpful.
day,gün,"“This may be the last great day,” he said."
debate,Tartışma,See you at thedebatetomorrow.
defense,savunma,"In her defense, she thought I was trying to kill her."
Democrat,Demokrat,I’m a tried and truedemocrat.
describe,tanımlamak,I can’t describe how helpless I felt.
design,tasarım,"It’s a Lou Rankin design, Fred answered."
determine,belirlemek,She couldn’t determine if she’d won this round or not.
develop,geliştirmek,"The second crop of cabbage was starting to develop, and the okra looked good."
development,Kalkınma,But three years later a new economic development began.
die,ölmek,I should die of happiness!
difference,Fark,He was so tall there was a vast difference in their height.
different,farklı,There’s nothing wrong with having a different opinion.
director,Yönetmen,You’re a vital asset and the director knows it.
discuss,Tartışmak,They could discuss it privately when they got home.
doctor,doktor,Thedoctor seemed tired and in a hurry.
draw,Çizmek,He evidently wished todraw him on.
each,her,"For eachdinner, sixty or more people show up."
easy,kolay,You make an easytarget.
edge,Kenar,His voice had an edge to it.
education,Eğitim,"“That’s what comes of a modern education,” exclaimed the visitor."
effort,çaba,I admire the effort and sacrifice you put into it.
eight,sekiz,Newly crowned heroine Lydia Larkin won the election by eight votes.
either,ya,He put a hand on eitherside of her.
election,seçim,Jake’s not standing for election next August.
energy,enerji,Now put that energyinto walking.
enjoy,keyif almak,"You’re beginning to enjoy it, aren’t you?"
enter,girmek,I’ll wait ’til you enterthe door.
entire,tamamı,She had enough for the entire family.
especially,özellikle,Joseph feels especially good today.
evening,akşam,How is your evening going on?
every,her,Every alive people drinks water.
everyone,herkes,Everyone should feel the fresh air.
evidence,delil,She doesn’t have any evidence.
exactly,kesinlikle,I don’t know exactly where she is.
example,örnek,Why don’t you read Rıza’s example?
experience,deneyim,Do you have experience for this job?
face,Yüz,Her face became sad.
fact,Gerçek,It is hard to tell fact from fiction!
factor,Faktör,His manner is a factor in his success.
fail,başarısız,He failed the test.
fall,düşmek,The rain falls heavily onto the roof.
fast,hızlı,He had a liking for fast cars.
fear,korku,She is trying to face her fear of dogs.
field,alan,The football field is enclosed by a wall.
fill,Doldurmak,He helped us to fill in the form.
finally,en sonunda,They finally found the cat up on the roof.
financial,Mali,The company needs more financial assistance
fine,Güzel,You did a fine job.
finish,bitiş,They have to finish their clean-up.
first,ilk,She finished the race at first position.
floor,Zemin,His office is on the second floor.
fly,uçmak,I will fly to Istanbul tomorrow.
force,Kuvvet,I tried to force from my memory.
forget,unutmak,I forget my keys
form,form,Please fill in the form.
former,eski,He was former worker of our company.
front,ön,He is in front of me in the que.
gas,gaz,The car almost ran out of gas.
generation,Nesil,This model belongs to the latest generation.
give,Vermek,Give me Tom’s address.
go,gitmek,
great,harika,
group,Grup,
grow,Büyümek,
growth,büyüme,
gun,Silah,
guy,adam,
hair,saç,
hand,el,
happy,mutlu,
heart,Kalp,
heavy,ağır,
her,ona,
hit,Çarptı,
home,ev,
hot,Sıcak,
hotel,otel,
hour,saat,
human,insan,
hundred,yüz,
husband,koca,
idea,Fikir,
important,önemli,
improve,Geliştirmek,
information,bilgi,
interesting,ilginç,
international,Uluslararası,
into,Içine,
issue,konu,
job,iş,
just,sadece,
laugh,gülmek,
law,hukuk,
lead,öncülük etmek,
learn,Öğrenmek,
least,en az,
leg,bacak,
legal,yasal,
less,az,
let,Izin vermek,
light,Işık,
likely,Muhtemel,
list,liste,
listen,Dinlemek,
local,yerel,
lose,kaybetmek,
loss,Kayıp,
make,Yapmak,
marriage,evlilik,
material,malzeme,
matter,Madde,
maybe,olabilir,
me,ben mi,
medical,tıbbi,
meeting,toplantı,
memory,Hafıza,
mention,söz etmek,
might,belki,
million,milyon,
mind,Zihin,
mission,misyon,
model,Model,
moment,an,
money,para,
more,Daha,
mouth,ağız,
move,hareket etmek,
movie,film,
Mr,Bay,
Mrs,bayan,
name,Isim,
nearly,neredeyse,
necessary,gerekli,
network,ağ,
never,asla,
next,Sonraki,
nice,Güzel,
no,yok hayır,
nor,Ne de,
note,Not,
now,Şimdi,
occur,Meydana gelmek,
off,Kapalı,
offer,Teklif etmek,
oil,yağ,
old,eski,
on,Üzerinde,
only,bir tek,
open,açık,
operation,Ameliyat,
order,sipariş,
other,diğer,
our,bizim,
out,dışarı,
outside,dışında,
over,Bitti,
own,kendi,
owner,sahip,
page,sayfa,
painting,Boyama,
paper,Kağıt,
part,Bölüm,
participant,katılımcı,
party,Parti,
pass,Geçmek,
patient,hasta,
peace,Barış,
people,insanlar,
perform,Gerçekleştirmek,
performance,Performans,
perhaps,Belki,
period,Dönem,
person,kişi,
phone,telefon,
pick,Almak,
piece,parça,
player,Oyuncu,
point,puan,
police,polis,
policy,politika,
political,Siyasi,
poor,Fakir,
population,Nüfus,
positive,pozitif,
possible,mümkün,
power,güç,
practice,Uygulama,
prevent,engel olmak,
private,özel,
problem,sorun,
professional,profesyonel,
project,Proje,
property,Gayrimenkul,
prove,kanıtlamak,
provide,sağlamak,
public,halka açık,
pull,Çek,
purpose,Amaç,
quality,kalite,
quickly,hızlı bir şekilde,
radio,radyo,
reach,Ulaşmak,
read,okumak,
ready,hazır,
really,Gerçekten mi,
reason,neden,
recently,son günlerde,
record,kayıt,
red,kırmızı,
reduce,Azaltmak,
reflect,Yansıtmak,
relationship,Ilişki,
religious,dini,
resource,kaynak,
respond,yanıtlamak,
rich,zengin,
road,yol,
run,koşmak,
safe,Güvenli,
save,kayıt etmek,
say,söylemek,
scientist,Bilim insanı,
sea,deniz,
season,sezon,
security,güvenlik,
seek,aramak,
sell,satmak,
send,Göndermek,
seven,Yedi,
shake,sallamak,
should,meli,
side,yan,
sign,işaret,
simple,basit,
sing,şarkı söyle,
single,tek,
site,yer,
size,boyut,
skill,beceri,
smile,gülümseme,
soldier,asker,
something,Bir şey,
sometimes,ara sıra,
son,oğul,
song,şarkı,
soon,yakında,
sound,ses,
source,kaynak,
spend,Harcamak,
spring,Bahar,
stand,Durmak,
standard,standart,
start,başlama,
state,belirtmek,
statement,Beyan,
step,adım,
stock,Stok,
story,Öykü,
strong,güçlü,
structure,Yapı,
student,Öğrenci,
study,ders çalışma,
style,Stil,
success,Başarı,
such,Böyle,
suddenly,aniden,
summer,yaz,
support,destek,
system,Sistem,
table,Tablo,
talk,Konuşmak,
task,görev,
teacher,öğretmen,
team,takım,
television,televizyon,
ten,on,
term,terim,
themselves,kendilerini,
then,sonra,
theory,Teori,
there,Orada,
these,bunlar,
third,üçüncü,
this,bu,
though,Olsa da,
thousand,bin,
through,vasitasiyla,
today,bugün,
together,birlikte,
tonight,Bu gece,
too,çok,
total,Genel Toplam,
toward,DOĞRU,
town,Kasaba,
traditional,geleneksel,
travel,seyahat,
tree,Ağaç,
trial,Deneme,
trip,Yolculuk,
trouble,sorun,
type,Yazın,
under,altında,
unit,Ünite,
until,a kadar,
upon,Üzerinde,
us,bize,
use,Kullanmak,
value,Değer,
victim,Kurban,
view,görünüm,
walk,Yürümek,
water,Su,
we,Biz,
weapon,Silah,
whatever,her neyse,
while,iken,
white,beyaz,
who,Kim,
whom,kime,
whose,kimin,
why,Neden,
wide,geniş,
wife,kadın eş,
wind,Rüzgar,
wish,Dilek,
within,Içinde,
woman,Kadın,
wonder,merak etmek,
worker,işçi,
would,Olur mu,
write,yazmak,
yard,avlu,
yet,Henüz,
you,sen,
young,genç,
your,Senin,
